BNF class code,BNF class,BNF drug code,Drug (chemical substance),Peak-to-trough ratio (95% CI),Peak month,Trough month,Seasonal shape,Seasonal strength,Parent class significant,Drug q (BH; all eligible drugs)
13.06.02,Oral preparations for acne,1306020J0,Isotretinoin,1.18 (1.11–1.26),Mar,Sep,Unimodal (non-sinusoidal),0.65,Yes,<0.001
04.05.01,Gastro-intestinal anti-obesity drugs,0405010P0,Orlistat,1.16 (1.13–1.21),Jul,Jan,Unimodal (non-sinusoidal),0.84,Yes,<0.001
13.05.03,Drugs affecting the immune response,1305030B0,Pimecrolimus,1.16 (1.12–1.22),Apr,Sep,Unimodal (non-sinusoidal),0.73,Yes,<0.001
12.01.01,Otitis externa,1201010B0,Acetic acid,1.16 (1.12–1.70),Jan,May,Unimodal (non-sinusoidal),0.50,Yes,0.00121
12.02.01,Drugs used in nasal allergy,1202010U0,Mometasone furoate,1.16 (1.13–1.20),May,Sep,Unimodal (non-sinusoidal),0.75,Yes,<0.001
04.10.02,Nicotine dependence,0410020B0,Nicotine,1.16 (1.12–1.22),Mar,Nov,Unimodal (non-sinusoidal),0.77,Yes,<0.001
05.01.05,Macrolides,0501050A0,Azithromycin,1.15 (1.12–1.20),Dec,Aug,Unimodal (non-sinusoidal),0.65,Yes,<0.001
11.03.01,Antibacterials,1103010B0,Ciprofloxacin,1.15 (1.11–1.20),Feb,May,Bimodal,0.71,Yes,<0.001
12.01.01,Otitis externa,120101050,Dexamethasone,1.15 (1.11–1.21),Aug,May,Bimodal,0.60,Yes,<0.001
13.02.01,Emollients,1302011L0,Light liquid paraffin,1.15 (1.12–1.18),Apr,Sep,Unimodal (non-sinusoidal),0.81,Yes,<0.001
01.07.04,Management of anal fissures,0107040A0,Glyceryl trinitrate,1.15 (1.12–1.18),Feb,Jul,Unimodal (non-sinusoidal),0.82,Yes,<0.001
12.02.01,Drugs used in nasal allergy,1202010I0,Budesonide,1.15 (1.13–1.18),Jun,Dec,Unimodal (non-sinusoidal),0.74,Yes,<0.001
13.07.00,Preparations for warts and calluses,1307000Q0,Silver nitrate,1.15 (1.10–1.22),Sep,Jan,Bimodal,0.62,Yes,<0.001
12.02.01,Drugs used in nasal allergy,1202010M0,Fluticasone propionate (Nasal),1.15 (1.11–1.19),Jun,Oct,Unimodal (non-sinusoidal),0.76,Yes,<0.001
09.02.02,Parent prepn for fluid and electrolyte imb,0902021X0,Water for injection,1.11 (1.10–1.13),Jan,Aug,Bimodal,0.70,Yes,<0.001
