BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Respiratory System,03.04.01,Antihistamines,Primary inferential,1.273,1.250,1.296,Jun,Jan,Unimodal (non-sinusoidal),0.870,0.579,0.904,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.11.06,Oxidisers and dyes,Primary inferential,1.246,1.190,1.318,Aug,Jan,Unimodal,0.663,0.937,0.591,Negbin,Negative binomial (LRT),"",<0.001,Yes
Infections,05.05.01,Drugs for threadworms,Primary inferential,1.223,1.157,1.306,Oct,Jun,Unimodal (non-sinusoidal),0.785,0.250,0.772,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Infections,05.02.05,Other antifungals,Primary inferential,1.210,1.174,1.253,Aug,Jan,Unimodal,0.856,0.862,0.793,Negbin,Negative binomial (LRT),"",<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,Primary inferential,1.192,1.166,1.227,May,Oct,Unimodal (non-sinusoidal),0.798,0.236,0.820,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.14.00,Topical circulatory preparations,Primary inferential,1.178,1.143,1.220,Jul,Dec,Unimodal (non-sinusoidal),0.770,0.726,0.726,Negbin,Negative binomial (LRT),"",<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,Primary inferential,1.173,1.139,1.223,Sep,May,Bimodal,0.715,0.613,0.692,Negbin,Negative binomial (LRT),"",<0.001,Yes
Central Nervous System,04.10.02,Nicotine dependence,Primary inferential,1.167,1.122,1.415,Mar,Nov,Unimodal (non-sinusoidal),0.781,0.713,0.642,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Central Nervous System,04.05.01,Gastro-intestinal anti-obesity drugs,Primary inferential,1.163,1.128,1.210,Jul,Jan,Unimodal (non-sinusoidal),0.837,0.974,0.777,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Gastro-Intestinal System,01.07.04,Management of anal fissures,Primary inferential,1.148,1.122,1.179,Feb,Jul,Unimodal (non-sinusoidal),0.825,0.815,0.746,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
