BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Respiratory System,03.02.00,Corticosteroids (respiratory),0302000U0,Ciclesonide,Secondary exploratory,1.045,1.033,1.062,Dec,Aug,Bimodal,0.343,0.849,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803042N0,Leuprorelin acetate,Secondary exploratory,1.042,1.022,1.068,Feb,Oct,Bimodal,0.367,0.849,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00683,No
Central Nervous System,04.02.01,Antipsychotic drugs,0402010J0,Haloperidol,Secondary exploratory,1.041,1.032,1.055,Dec,Aug,Unimodal (non-sinusoidal),0.316,0.642,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.04.00,Beta-adrenoceptor blocking drugs,0204000I0,Labetalol hydrochloride,Secondary exploratory,1.041,1.035,1.055,Apr,Sep,Bimodal,0.171,0.782,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.02.02,Antipsychotic depot injections,0402020Z0,Zuclopenthixol decanoate,Secondary exploratory,1.039,1.028,1.061,Jan,Sep,Unimodal,0.377,0.647,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.01,Combined hormonal contraceptives and systems,0703010E0,Combined ethinylestradiol 20mcg,Secondary exploratory,1.039,1.023,1.063,Jul,Nov,Unimodal (non-sinusoidal),0.448,0.905,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0099,No
Respiratory System,03.01.01,Adrenoceptor agonists,0301011U0,Salmeterol,Secondary exploratory,1.038,1.031,1.058,Nov,Aug,Bimodal,0.268,0.992,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000F0,Cyclizine hydrochloride,Secondary exploratory,1.038,1.027,1.059,Dec,May,Unimodal (non-sinusoidal),0.321,0.758,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803043N0,Octreotide acetate,Secondary exploratory,1.038,1.033,1.087,Jan,Sep,Unimodal,0.197,0.891,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0025,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.02,Drugs for urinary frequency enuresis and incontinence,0704020G0,Flavoxate hydrochloride,Secondary exploratory,1.037,1.021,1.070,Nov,Mar,Unimodal,0.000,0.913,Poisson,Poisson + Newey–West HAC (Wald),No,0.0357,No
Gastro-Intestinal System,01.05.01,Aminosalicylates,0105010C0,Olsalazine sodium,Secondary exploratory,1.036,1.025,1.074,Jul,Mar,Unimodal,0.000,0.822,Poisson,Poisson + Newey–West HAC (Wald),No,0.0106,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000S0,Ondansetron hydrochloride,Secondary exploratory,1.036,1.017,1.069,Dec,Apr,Bimodal,0.259,0.885,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0429,No
Gastro-Intestinal System,01.06.04,Osmotic laxatives,0106040N0,Phosphates (Rectal),Secondary exploratory,1.035,1.025,1.068,Aug,Apr,Bimodal,0.095,0.527,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Musculoskeletal and Joint Diseases,10.01.01,Non-steroidal anti-inflammatory drugs,1001010P0,Naproxen,Secondary exploratory,1.035,1.031,1.055,Aug,Dec,Bimodal,0.165,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.02.02,Loop diuretics,0202020L0,Furosemide,Secondary exploratory,1.035,1.028,1.051,Jul,Feb,Unimodal (non-sinusoidal),0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000T0,Prochlorperazine maleate,Secondary exploratory,1.035,1.024,1.051,Sep,May,Bimodal,0.382,0.193,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",1003020I0,Diethylamine salicylate,Secondary exploratory,1.034,1.025,1.064,May,Jan,Bimodal,0.132,0.972,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0139,No
Eye,11.08.01,"Tear deficiency, eye lubricant and astringent",1108010D0,Carmellose sodium,Secondary exploratory,1.034,1.023,1.061,Jul,Feb,Unimodal (non-sinusoidal),0.270,0.896,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803042W0,Triptorelin,Secondary exploratory,1.034,1.020,1.058,Feb,Oct,Unimodal (non-sinusoidal),0.422,0.868,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",100302010,Ketoprofen,Secondary exploratory,1.034,1.026,1.056,Apr,Jan,Bimodal,0.053,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.03.01,Drugs for oral ulceration and inflammation,1203010K0,Choline salicylate,Secondary exploratory,1.034,1.027,1.080,Aug,Jan,Unimodal,0.065,0.289,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0137,No
Endocrine System,06.01.01,Insulin,0601011A0,Insulin aspart,Secondary exploratory,1.033,1.019,1.050,Jun,Sep,Bimodal,0.220,0.890,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00153,No
Respiratory System,03.01.01,Adrenoceptor agonists,0301011E0,Formoterol fumarate,Secondary exploratory,1.033,1.019,1.057,Dec,Aug,Bimodal,0.000,0.983,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0016,No
Central Nervous System,04.01.01,Hypnotics,0401010AD,Melatonin,Secondary exploratory,1.033,1.027,1.045,Jan,Aug,Unimodal (non-sinusoidal),0.298,0.978,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.01.02,Antidiabetic drugs,0601023Z0,Metformin hydrochloride/vildagliptin,Secondary exploratory,1.033,1.017,1.063,Dec,Apr,Unimodal,0.182,0.961,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Musculoskeletal and Joint Diseases,10.02.02,Skeletal muscle relaxants,1002020J0,Dantrolene sodium,Secondary exploratory,1.032,1.022,1.046,Dec,Mar,Bimodal,0.050,0.393,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Endocrine System,06.01.01,Insulin,0601011L0,Insulin Lispro,Secondary exploratory,1.032,1.023,1.049,Dec,Sep,Bimodal,0.000,0.473,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.03.02,Herpesvirus infections,0503021A0,Valaciclovir,Secondary exploratory,1.032,1.017,1.059,Dec,Mar,Bimodal,0.022,0.913,Poisson,Poisson + Newey–West HAC (Wald),No,0.0259,No
Cardiovascular System,02.07.02,Vasoconstrictor sympathomimetics,0207020Y0,Midodrine hydrochloride,Secondary exploratory,1.032,1.019,1.053,Nov,Apr,Unimodal (non-sinusoidal),0.160,0.988,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.05.04,Alpha-adrenoceptor blocking drugs,0205040S0,Prazosin hydrochloride,Secondary exploratory,1.031,1.019,1.061,Jan,Aug,Unimodal,0.308,0.982,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0336,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205052AB,Olmesartan medoxomil/amlodipine,Secondary exploratory,1.031,1.022,1.053,May,Sep,Unimodal,0.002,0.697,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00109,No
Cardiovascular System,02.02.04,Potassium sparing diuretics and compounds,0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),Secondary exploratory,1.030,1.019,1.050,Oct,Feb,Unimodal (non-sinusoidal),0.212,0.978,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00776,No
Endocrine System,06.01.01,Insulin,0601011P0,Insulin glulisine,Secondary exploratory,1.029,1.018,1.048,Dec,Aug,Bimodal,0.227,0.871,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00107,No
Eye,11.04.01,Corticosteroids,1104010I0,Dexamethasone,Secondary exploratory,1.029,1.020,1.055,Aug,Jan,Unimodal (non-sinusoidal),0.090,0.040,Poisson,Poisson + Newey–West HAC (Wald),No,0.0327,No
Cardiovascular System,02.02.02,Loop diuretics,0202020D0,Bumetanide,Secondary exploratory,1.029,1.017,1.056,Jun,Feb,Unimodal (non-sinusoidal),0.000,0.167,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0401,No
Central Nervous System,04.07.01,Non-opioid analgesics and compound preparations,0407010H0,Paracetamol,Secondary exploratory,1.029,1.025,1.039,Dec,Aug,Bimodal,0.000,0.343,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.08.02,Oral anticoagulants,0208020H0,Acenocoumarol,Secondary exploratory,1.028,1.018,1.052,Dec,Apr,Unimodal,0.040,0.872,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00191,No
Central Nervous System,04.07.01,Non-opioid analgesics and compound preparations,0407010P0,Nefopam hydrochloride,Secondary exploratory,1.028,1.022,1.047,May,Dec,Unimodal (non-sinusoidal),0.135,0.990,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Nutrition and Blood,09.01.02,Drugs used in megaloblastic anaemias,0901020D0,Cyanocobalamin,Secondary exploratory,1.028,1.020,1.041,Sep,Mar,Unimodal (non-sinusoidal),0.184,0.974,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.09.03,"Essential tremor,chorea,tics and related disorders",0409030C0,Tetrabenazine,Secondary exploratory,1.028,1.016,1.063,Dec,Apr,Unimodal,0.213,0.229,Poisson,Poisson + Newey–West HAC (Wald),No,0.00256,No
Infections,05.04.01,Antimalarials,0504010Y0,Quinine sulfate,Secondary exploratory,1.027,1.021,1.044,Sep,Mar,Unimodal (non-sinusoidal),0.195,0.887,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.08.01,Control of epilepsy,0408010Z0,Phenytoin,Secondary exploratory,1.027,1.015,1.051,Dec,Aug,Unimodal,0.019,0.808,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.011,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,0901011P0,Ferrous sulfate,Secondary exploratory,1.027,1.021,1.043,Jul,Jan,Unimodal (non-sinusoidal),0.225,0.896,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000P0,Metoclopramide hydrochloride,Secondary exploratory,1.027,1.020,1.041,Nov,May,Unimodal,0.000,0.827,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.02.01,Preparations for vaginal and vulval changes,0702010F0,Estriol,Secondary exploratory,1.027,1.021,1.058,Oct,Mar,Unimodal (non-sinusoidal),0.000,0.966,Poisson,Poisson + Newey–West HAC (Wald),No,0.0026,No
Respiratory System,03.04.01,Antihistamines,0304010Y0,Alimemazine tartrate,Secondary exploratory,1.026,1.018,1.043,Dec,Sep,Unimodal,0.370,0.838,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00283,No
Central Nervous System,04.11.00,Dementia,0411000G0,Memantine hydrochloride,Secondary exploratory,1.026,1.015,1.049,Nov,Mar,Bimodal,0.000,0.938,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.01.02,Antidiabetic drugs,0601023AU,Ins degludec/liraglutide,Secondary exploratory,1.026,1.018,1.049,May,Sep,Unimodal,0.310,0.983,Poisson,Poisson + Newey–West HAC (Wald),No,0.009,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030Z0,Citalopram hydrochloride,Secondary exploratory,1.026,1.017,1.045,Nov,Apr,Unimodal,0.120,0.658,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.03.02,Leukotriene receptor antagonists,0303020G0,Montelukast,Secondary exploratory,1.025,1.020,1.035,Dec,Sep,Bimodal,0.000,0.775,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.08.02,Oral anticoagulants,0208020V0,Warfarin sodium,Secondary exploratory,1.025,1.016,1.041,Nov,Mar,Bimodal,0.143,0.978,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.03.02,Glucocorticoid therapy,0603020J0,Hydrocortisone,Secondary exploratory,1.025,1.015,1.045,Dec,Mar,Bimodal,0.192,0.807,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205051F0,Captopril,Secondary exploratory,1.025,1.016,1.039,Nov,Aug,Bimodal,0.113,0.958,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Nutrition and Blood,09.06.04,Vitamin D,0906040G0,Colecalciferol,Secondary exploratory,1.024,1.018,1.041,Apr,Aug,Unimodal (non-sinusoidal),0.000,0.563,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.08.01,Control of epilepsy,0408010AF,Rufinamide,Secondary exploratory,1.024,1.017,1.061,Dec,Mar,Unimodal,0.252,0.261,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00906,No
Gastro-Intestinal System,01.03.01,H2-receptor antagonists,0103010H0,Famotidine,Secondary exploratory,1.024,1.016,1.039,Nov,Apr,Unimodal (non-sinusoidal),0.000,0.994,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.04.02,Antimotility drugs,0104020L0,Loperamide hydrochloride,Secondary exploratory,1.024,1.016,1.041,Jul,Mar,Unimodal (non-sinusoidal),0.174,0.062,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,0409010Z0,Rotigotine,Secondary exploratory,1.023,1.012,1.047,Nov,Mar,Bimodal,0.000,0.138,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.07.00,Mucolytics,0307000J0,Carbocisteine,Secondary exploratory,1.023,1.018,1.032,Dec,Aug,Bimodal,0.000,0.886,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.01.03,Antimetabolites,0801030P0,Methotrexate,Secondary exploratory,1.023,1.013,1.040,Jun,Feb,Unimodal,0.260,0.762,Poisson,Poisson + Newey–West HAC (Wald),No,0.0401,No
Endocrine System,06.03.01,Replacement therapy,0603010I0,Fludrocortisone acetate,Secondary exploratory,1.023,1.016,1.040,Dec,Apr,Unimodal (non-sinusoidal),0.000,0.855,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.10.03,Opioid dependence,0410030A0,Buprenorphine hydrochloride,Secondary exploratory,1.023,1.015,1.040,May,Aug,Bimodal,0.158,0.599,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00656,No
Eye,11.08.01,"Tear deficiency, eye lubricant and astringent",1108010C0,Acetylcysteine,Secondary exploratory,1.022,1.016,1.045,Aug,Mar,Unimodal,0.230,0.143,Poisson,Poisson + Newey–West HAC (Wald),No,0.00503,No
Respiratory System,03.04.01,Antihistamines,0304010J0,Hydroxyzine hydrochloride,Secondary exploratory,1.022,1.014,1.038,Jan,Sep,Unimodal,0.000,0.533,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0014,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,0901011F0,Ferrous fumarate,Secondary exploratory,1.022,1.016,1.044,Jul,Feb,Unimodal (non-sinusoidal),0.000,0.553,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00215,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205052V0,Valsartan,Secondary exploratory,1.022,1.014,1.037,Nov,Feb,Bimodal,0.119,0.617,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0199,No
Cardiovascular System,02.06.02,Calcium-channel blockers,0206020A0,Amlodipine,Secondary exploratory,1.021,1.016,1.033,Apr,Aug,Unimodal (non-sinusoidal),0.000,0.788,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.11.00,Dementia,0411000D0,Donepezil hydrochloride,Secondary exploratory,1.021,1.014,1.037,Nov,Mar,Unimodal (non-sinusoidal),0.037,0.359,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.06.04,Osmotic laxatives,0106040G0,Lactulose,Secondary exploratory,1.021,1.016,1.041,Jan,Jun,Unimodal (non-sinusoidal),0.009,0.248,Poisson,Poisson + Newey–West HAC (Wald),No,0.00147,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803041C0,Exemestane,Secondary exploratory,1.021,1.011,1.041,Dec,Mar,Bimodal,0.000,0.759,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0224,No
Infections,05.01.13,Urinary-tract infections,0501130H0,Methenamine hippurate,Secondary exploratory,1.021,1.011,1.039,Dec,Apr,Bimodal,0.000,0.996,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00314,No
Gastro-Intestinal System,01.06.02,Stimulant laxatives,0106020M0,Senna,Secondary exploratory,1.021,1.011,1.039,Nov,Mar,Unimodal (non-sinusoidal),0.147,0.598,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00719,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,0409010V0,Entacapone,Secondary exploratory,1.020,1.012,1.043,Dec,Mar,Bimodal,0.015,0.496,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0267,No
Endocrine System,06.01.06,Diabetic diagnostic and monitoring agents,0601060D0,Glucose blood testing reagents,Secondary exploratory,1.020,1.017,1.033,Aug,Dec,Unimodal (non-sinusoidal),0.126,0.907,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.10.03,Opioid dependence,0410030C0,Methadone hydrochloride,Secondary exploratory,1.020,1.013,1.037,May,Sep,Bimodal,0.143,0.891,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00614,No
Respiratory System,03.01.02,Antimuscarinic bronchodilators,0301020S0,Glycopyrronium bromide,Secondary exploratory,1.020,1.012,1.041,Dec,Apr,Bimodal,0.159,0.994,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0215,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,0901011H0,Ferrous gluconate,Secondary exploratory,1.020,1.014,1.041,Aug,Jan,Unimodal,0.009,0.136,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0147,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000J0,Domperidone,Secondary exploratory,1.020,1.013,1.045,Dec,Aug,Bimodal,0.000,0.917,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0297,No
Central Nervous System,04.03.04,Other antidepressant drugs,0403040U0,Reboxetine,Secondary exploratory,1.020,1.014,1.041,Apr,Aug,Unimodal,0.108,0.637,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,0403010R0,Lofepramine hydrochloride,Secondary exploratory,1.019,1.013,1.033,Nov,Jul,Bimodal,0.198,0.956,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.02.02,Corticosteroids and other immunosuppressants,0802020T0,Tacrolimus,Secondary exploratory,1.019,1.013,1.037,Dec,Apr,Unimodal,0.000,0.882,Poisson,Poisson + Newey–West HAC (Wald),No,0.00954,No
Central Nervous System,04.04.00,CNS stimulants and drugs used for ADHD,0404000R0,Modafinil,Secondary exploratory,1.019,1.010,1.036,Jun,Mar,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0095,No
Endocrine System,06.01.01,Insulin,0601012D0,Biphasic isophane insulin,Secondary exploratory,1.019,1.011,1.036,Nov,Mar,Bimodal,0.162,0.590,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00949,No
Endocrine System,06.01.01,Insulin,0601012S0,Isophane insulin,Secondary exploratory,1.019,1.012,1.039,Dec,Mar,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.07.02,Opioid analgesics,0407020A0,Fentanyl,Secondary exploratory,1.019,1.010,1.036,Jul,Mar,Unimodal (non-sinusoidal),0.187,0.968,Poisson,Poisson + Newey–West HAC (Wald),No,0.0218,No
Cardiovascular System,02.02.01,Thiazides and related diuretics,0202010P0,Indapamide,Secondary exploratory,1.019,1.015,1.029,May,Sep,Bimodal,0.000,0.722,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,0409010N0,Co-careldopa (Carbidopa/levodopa),Secondary exploratory,1.019,1.011,1.037,Nov,Mar,Bimodal,0.000,0.702,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.04,Other antidepressant drugs,0403040X0,Mirtazapine,Secondary exploratory,1.018,1.015,1.035,Jan,Jul,Unimodal (non-sinusoidal),0.000,0.701,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.01.02,Antimuscarinic bronchodilators,0301020Q0,Tiotropium bromide,Secondary exploratory,1.018,1.012,1.033,Dec,Aug,Bimodal,0.159,0.979,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00639,No
Gastro-Intestinal System,01.02.00,Antispasmodics and other drugs altering gut motility,0102000T0,Peppermint oil,Secondary exploratory,1.018,1.014,1.036,Sep,Jan,Unimodal (non-sinusoidal),0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.07.04,Antimigraine drugs,0407042Q0,Pizotifen malate,Secondary exploratory,1.018,1.014,1.030,May,Aug,Bimodal,0.203,0.141,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.01,Drugs for urinary retention,0704010V0,Tamsulosin and dutasteride hydrochloride,Secondary exploratory,1.018,1.010,1.036,Nov,Feb,Bimodal,0.000,0.615,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0202,No
Nutrition and Blood,09.06.07,Multivitamin preparations,090607000,Other multivitamin preparations,Secondary exploratory,1.018,1.013,1.032,Dec,Jul,Unimodal (non-sinusoidal),0.010,0.889,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.02,Progestogen-only contraceptives,0703021Q0,Desogestrel,Secondary exploratory,1.018,1.010,1.034,Jul,Oct,Bimodal,0.374,0.883,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0286,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.05,Drugs for erectile dysfunction,0704050R0,Tadalafil,Secondary exploratory,1.017,1.009,1.036,Dec,Apr,Bimodal,0.000,0.949,Poisson,Poisson + Newey–West HAC (Wald),No,0.0137,No
Endocrine System,06.01.01,Insulin,0601012W0,Biphasic insulin aspart,Secondary exploratory,1.017,1.009,1.034,Nov,Mar,Bimodal,0.153,0.882,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0386,No
Endocrine System,06.01.02,Antidiabetic drugs,0601023AG,Dapagliflozin,Secondary exploratory,1.017,1.008,1.031,Nov,Mar,Bimodal,0.091,0.998,Poisson,Poisson + Newey–West HAC (Wald),No,0.0492,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,0409010W0,Pramipexole,Secondary exploratory,1.017,1.010,1.034,Nov,Mar,Unimodal (non-sinusoidal),0.000,0.787,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0261,No
Central Nervous System,04.08.01,Control of epilepsy,0408010H0,Lamotrigine,Secondary exploratory,1.017,1.010,1.032,Dec,Mar,Bimodal,0.000,0.849,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,0403010F0,Clomipramine hydrochloride,Secondary exploratory,1.017,1.011,1.031,Nov,Aug,Bimodal,0.000,0.115,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.07.02,Opioid analgesics,0407020Q0,Morphine sulfate,Secondary exploratory,1.017,1.012,1.031,Nov,Aug,Bimodal,0.000,0.339,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.01.02,Anxiolytics,0401020P0,Lorazepam,Secondary exploratory,1.017,1.012,1.038,Nov,Apr,Bimodal,0.000,0.490,Poisson,Poisson + Newey–West HAC (Wald),No,0.0113,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205052Q0,Telmisartan,Secondary exploratory,1.017,1.011,1.034,Oct,Mar,Unimodal,0.000,0.139,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0341,No
Endocrine System,06.01.01,Insulin,0601012F0,Biphasic insulin lispro,Secondary exploratory,1.016,1.011,1.032,Nov,Aug,Bimodal,0.143,0.937,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0104,No
Musculoskeletal and Joint Diseases,10.01.01,Non-steroidal anti-inflammatory drugs,1001010AH,Celecoxib,Secondary exploratory,1.016,1.011,1.030,May,Jan,Bimodal,0.143,0.892,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00361,No
Cardiovascular System,02.06.03,Other antianginal drugs,0206030Z0,Ranolazine,Secondary exploratory,1.016,1.011,1.033,Nov,Mar,Bimodal,0.000,0.973,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.12.00,Lipid-regulating drugs,0212000P0,Fenofibrate,Secondary exploratory,1.016,1.012,1.035,Dec,Aug,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.07.02,Opioid analgesics,0407020AD,Oxycodone hydrochloride,Secondary exploratory,1.016,1.009,1.033,Nov,Mar,Bimodal,0.000,0.048,Poisson,Poisson + Newey–West HAC (Wald),No,0.0482,No
Central Nervous System,04.07.02,Opioid analgesics,0407020B0,Buprenorphine,Secondary exploratory,1.016,1.009,1.034,Jun,Feb,Bimodal,0.000,0.241,Poisson,Poisson + Newey–West HAC (Wald),No,0.0157,No
Nutrition and Blood,09.02.01,Oral preparation for fluid and electrolyte imbalance,0902013S0,Sodium bicarbonate,Secondary exploratory,1.016,1.009,1.031,Sep,Apr,Unimodal,0.023,0.935,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00523,No
Endocrine System,06.04.02,Male sex hormones and antagonists,0604020C0,Finasteride,Secondary exploratory,1.016,1.012,1.032,Nov,Jul,Bimodal,0.111,0.665,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803041L0,Letrozole,Secondary exploratory,1.016,1.008,1.033,Nov,Mar,Bimodal,0.000,0.714,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00719,No
