BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Respiratory System,03.01.01,Adrenoceptor agonists,0301011R0,Salbutamol,Secondary exploratory,1.126,1.098,1.156,Dec,Aug,Bimodal,0.702,0.943,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.06,Clindamycin and lincomycin,0501060D0,Clindamycin hydrochloride,Secondary exploratory,1.126,1.097,1.163,Aug,Dec,Unimodal (non-sinusoidal),0.701,0.921,Negbin,Negative binomial (LRT),Yes,<0.001,No
Skin,13.02.01,Emollients,1302011M0,Liquid paraffin,Secondary exploratory,1.125,1.097,1.164,May,Sep,Unimodal (non-sinusoidal),0.678,0.983,Negbin,Negative binomial (LRT),Yes,<0.001,No
Skin,13.06.01,Topical preparations for acne,1306010B0,Azelaic acid,Secondary exploratory,1.121,1.074,1.200,Apr,Nov,Unimodal,0.215,0.832,Negbin,Negative binomial (LRT),Yes,0.0174,No
Skin,13.04.00,Topical corticosteroids,1304000V0,Hydrocortisone,Secondary exploratory,1.117,1.083,1.173,Mar,Oct,Unimodal,0.710,0.783,Negbin,Negative binomial (LRT),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.01.03,Removal of ear wax and other substances,1201030N0,Urea hydrogen peroxide,Secondary exploratory,1.113,1.067,1.162,Mar,Nov,Bimodal,0.616,0.887,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.12,Quinolones,0501120L0,Ciprofloxacin,Secondary exploratory,1.112,1.092,1.143,Dec,Jun,Unimodal,0.519,0.961,Negbin,Negative binomial (LRT),Yes,<0.001,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000G0,Cyclizine lactate,Secondary exploratory,1.111,1.083,1.166,Dec,Aug,Bimodal,0.433,0.591,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.07.02,Compound haemorrhoidal preparations with corticosteroid,0107020J0,Hydrocortisone,Secondary exploratory,1.109,1.076,1.174,Feb,Jul,Unimodal (non-sinusoidal),0.523,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.04.00,Topical corticosteroids,1304000F0,Betamethasone valerate,Secondary exploratory,1.109,1.075,1.164,May,Oct,Unimodal,0.494,0.260,Negbin,Negative binomial (LRT),Yes,0.00109,No
