bnf_class_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
050304,158.006186480819,59.885159206419,431.964485264789,Jan,Aug,2.28735377444349,0.67008832077732,1,0.76641308662033,0.720449269735343,0.431018286119244,31027.3054660685,24836.6854762606,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Influenza,4.68215957348274e-70,poisson,HAC-Wald,616.202619393856,0.015663559518702,0.0253892329626093,0.868333656509318,FALSE,,1.4557031507995,1.76434566517259,0.0903764497613319,0.663965703158458,TRUE,,1.28759388270775e-68,TRUE,primary_inferential,all_eligible_classes
140400,60.0870466156543,23.8706133871425,163.598417679388,Oct,Jun,1.54855377782612,0.867288497609311,2,0.858076031143359,0.860914505478275,0,17956017.1406934,9160429.10251844,"bimodal (2 harmonics, 2 peaks)",Vaccines and antisera,1.59634766296845e-75,poisson,HAC-Wald,210018.931132338,5.83640418943395e-06,0.041092291041169,2.21104635009149,FALSE,,-0.66119806608119,1.4002985111147,-0.651747397568028,-0.572201597209164,TRUE,,5.01709265504371e-74,TRUE,primary_inferential,all_eligible_classes
091101,4.21767876213855,2.30252925271237,11.9961055156587,Oct,Feb,0.558056673317522,0.301494782430086,2,-0.00574791181004416,0.00214431147803729,0.704659643444931,7319.62523162249,5937.85192892767,"bimodal (2 harmonics, 2 peaks)",Amino acids and nutritional agents,0.000397183116567696,poisson,HAC-Wald,144.536789780143,0.00176478868138175,0.0173611370481709,2.90414994473843,FALSE,,-0.551609116687423,0.0845850638206322,-0.279362419514994,0.113383166278305,TRUE,,0.000970892062721036,TRUE,primary_inferential,all_eligible_classes
030902,2.14078973147389,1.95961769766645,2.3501452183663,Dec,Aug,0.327028728231983,0.120921482492106,1,0.918371032320751,0.882206161178863,0.536043948385994,4003.20371567538,2443.10541168872,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Expectorant and demulcent cough preparations,9.80815688728394e-142,poisson,HAC-Wald,48.9283734372003,4.12070914663297e-05,0.0336447337939858,11.1204073574542,FALSE,,0.130308102714288,0.299945974228745,-0.0908202507024063,0.0798353743051332,TRUE,,7.19264838400822e-140,TRUE,primary_inferential,all_eligible_classes
110402,1.98126865877568,1.88367230426058,2.12508479290509,Jun,Jan,0.330099492833001,0.109552250434335,1,0.970923878945256,0.962261489945391,0.206118692835272,65341.1065740509,38538.2915536494,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Other anti-inflammatory preparations,6.53183629706961e-146,poisson,HAC-Wald,982.846137599289,0.00683978721029577,0.000236752081077651,0.444010366025165,FALSE,,0.0127434156930895,-0.32985342278818,-0.0244837881406989,0.10678127033103,TRUE,,7.18501992677657e-144,TRUE,primary_inferential,all_eligible_classes
050506,1.66286854379828,1.54164278860944,1.93622169935406,Jan,Aug,0.257024299116947,0.0366061978954039,1,0.45631479672964,0.357383650660079,0.977280726910339,1380.62164054921,1315.4739772202,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Filaricides,8.95542925086484e-61,poisson,HAC-Wald,22.3831669442745,7.0841066054369e-10,0.0402378723035992,1.10018397417083,FALSE,,0.165859647837377,0.196346804292352,-0.0339212382997131,0.0137609344367144,TRUE,,1.97019443519026e-59,TRUE,primary_inferential,all_eligible_classes
091104,1.63392196863269,1.19063371045219,2.43724680910422,Oct,Feb,0.180803921457907,0.111214748503062,2,0.014559709666591,0,0.824033237437765,1456.93873222549,1324.39834383673,"bimodal (2 harmonics, 2 peaks)",Digestive aids,0.0227407218648549,poisson,HAC-Wald,23.6634641201687,3.444009460377e-05,6.06456632856744e-06,0.991497675850845,FALSE,,-0.18080362380166,-0.000328077345432437,-0.102665682258656,0.0427607059221902,TRUE,,0.0413467670270089,TRUE,primary_inferential,all_eligible_classes
050103,1.6006884701747,1.46006005128212,1.77739042056285,Dec,Aug,0.211053262148009,0.0625437033497495,1,0.856687580456768,0.824657179986849,0.356519661359553,140281.960049796,101046.825009906,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Tetracyclines,7.32665654772252e-90,poisson,HAC-Wald,2565.45068504433,0.00306084107962484,0.0051294132315346,3.24825180992272,FALSE,,0.111525202479168,0.17918038027445,-0.017167416397245,0.0601414552779119,TRUE,,3.22372888099791e-88,TRUE,primary_inferential,all_eligible_classes
030403,1.58280299421674,1.42544266385638,1.80084772087223,Aug,Dec,0.19259870377982,0.0902265878404827,2,0.784138120456475,0.827586221090884,0.318678297879199,26126.9594690741,19381.4096010087,"bimodal (2 harmonics, 2 peaks)",Allergic emergencies,1.22919983968918e-18,poisson,HAC-Wald,478.23539351304,1.03684039037671e-06,0.00376183114386286,2.10207814650895,FALSE,,-0.0254631097228256,-0.19090806882086,0.0229918627444966,-0.0872479879474282,TRUE,,8.72335370101998e-18,TRUE,primary_inferential,all_eligible_classes
110301,1.57739215119567,1.39114889382172,1.82860544582019,Feb,Sep,0.211973374566433,0.0526939030932643,1,0.893175726261802,0.767583974888006,0.632865119146594,31392.1959241875,25237.0935257783,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Antibacterials,2.09572188341215e-11,poisson,HAC-Wald,619.33542253509,3.33014311241166e-07,6.00019145480246e-10,1.34549860482517,FALSE,,0.207890921453825,0.0414014045916435,0.0525976696238056,0.00318317032961334,TRUE,,9.40936355817698e-11,TRUE,primary_inferential,all_eligible_classes
