bnf_class_code,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,hac_capped,class_q_bh,class_significant,meaningful
120201,Drugs used in nasal allergy,primary_inferential,all_eligible_classes,1.192,1.166,1.227,May,Oct,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.82,0.798,0.236,poisson,HAC-Wald,FALSE,4.93335033400967e-52,TRUE,TRUE
131400,Topical circulatory preparations,primary_inferential,all_eligible_classes,1.178,1.143,1.22,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.726,0.77,0.726,negbin,NB-LRT,,4.53290816890594e-11,TRUE,TRUE
120101,Otitis externa,primary_inferential,all_eligible_classes,1.173,1.139,1.223,Sep,May,"bimodal (2 harmonics, 2 peaks)",2,0.692,0.715,0.613,negbin,NB-LRT,,4.03048405132221e-10,TRUE,TRUE
041002,Nicotine dependence,primary_inferential,all_eligible_classes,1.167,1.122,1.415,Mar,Nov,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.642,0.781,0.713,poisson,HAC-Wald,FALSE,3.44007179729206e-08,TRUE,TRUE
040501,Gastro-intestinal anti-obesity drugs,primary_inferential,all_eligible_classes,1.163,1.128,1.21,Jul,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.777,0.837,0.974,poisson,HAC-Wald,FALSE,3.05466343423733e-17,TRUE,TRUE
010704,Management of anal fissures,primary_inferential,all_eligible_classes,1.148,1.122,1.179,Feb,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.746,0.825,0.815,poisson,HAC-Wald,FALSE,3.55305526555235e-42,TRUE,TRUE
091101,Amino acids and nutritional agents,primary_inferential,all_eligible_classes,4.218,2.303,11.996,Oct,Feb,"bimodal (2 harmonics, 2 peaks)",2,-0.006,0.002,0.705,poisson,HAC-Wald,FALSE,0.000970892062721036,TRUE,FALSE
050506,Filaricides,primary_inferential,all_eligible_classes,1.663,1.542,1.936,Jan,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.456,0.357,0.977,poisson,HAC-Wald,FALSE,1.97019443519026e-59,TRUE,FALSE
091104,Digestive aids,primary_inferential,all_eligible_classes,1.634,1.191,2.437,Oct,Feb,"bimodal (2 harmonics, 2 peaks)",2,0.015,0,0.824,poisson,HAC-Wald,FALSE,0.0413467670270089,TRUE,FALSE
110803,Other eye preparations,primary_inferential,all_eligible_classes,1.233,1.123,1.774,Jun,Feb,"bimodal (2 harmonics, 2 peaks)",2,0.09,0.02,0.688,poisson,HAC-Wald,TRUE,0.00149959155530954,TRUE,FALSE
120303,Lozenges and sprays,primary_inferential,all_eligible_classes,1.165,1.126,1.224,Jan,Jul,unimodal (1 harmonic preferred),1,0.346,0.189,0.026,poisson,Poisson-LRT,,1.58784569297935e-10,TRUE,FALSE
050106,Clindamycin and lincomycin,primary_inferential,all_eligible_classes,1.126,1.096,1.163,Aug,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.625,0.7,0.921,negbin,NB-LRT,,4.48078666131178e-09,TRUE,FALSE
030101,Adrenoceptor agonists,primary_inferential,all_eligible_classes,1.124,1.094,1.154,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",2,0.606,0.696,0.945,poisson,HAC-Wald,FALSE,2.96694404817216e-20,TRUE,FALSE
