bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
0406000F0,Cyclizine hydrochloride,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.038,1.027,1.059,Dec,May,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.072,0.321,0.758,poisson,HAC-Wald,1.33014658893284e-15,TRUE,TRUE,4.48078666131178e-09,9.20787712728192e-16,TRUE,FALSE
0803043N0,Octreotide acetate,Hormone antagonists,secondary_exploratory,all_eligible_drugs,1.038,1.033,1.087,Jan,Sep,unimodal (1 harmonic preferred),-0.039,0.197,0.891,poisson,HAC-Wald,0.00249647851789927,TRUE,TRUE,0.00341395403142288,0.00181852223223317,TRUE,FALSE
0704020G0,Flavoxate hydrochloride,Drugs for urinary frequency enuresis and incontinence,secondary_exploratory,all_eligible_drugs,1.037,1.021,1.07,Nov,Mar,unimodal (1 harmonic preferred),-0.016,0,0.913,poisson,HAC-Wald,0.0356769724728439,TRUE,FALSE,0.102138015457376,,FALSE,FALSE
0105010C0,Olsalazine sodium,Aminosalicylates,secondary_exploratory,all_eligible_drugs,1.036,1.025,1.074,Jul,Mar,unimodal (1 harmonic preferred),-0.08,0,0.822,poisson,HAC-Wald,0.010564156785516,TRUE,FALSE,0.351348375932707,,FALSE,FALSE
0406000S0,Ondansetron hydrochloride,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.036,1.017,1.069,Dec,Apr,"bimodal (2 harmonics, 2 peaks)",-0.01,0.259,0.885,poisson,HAC-Wald,0.0428835223589691,TRUE,TRUE,4.48078666131178e-09,0.0332335332644586,TRUE,FALSE
0106040N0,Phosphates (Rectal),Osmotic laxatives,secondary_exploratory,all_eligible_drugs,1.035,1.025,1.068,Aug,Apr,"bimodal (2 harmonics, 2 peaks)",0.169,0.095,0.527,poisson,HAC-Wald,2.24666542902674e-05,TRUE,FALSE,0.411692559020789,,FALSE,FALSE
1001010P0,Naproxen,Non-steroidal anti-inflammatory drugs,secondary_exploratory,all_eligible_drugs,1.035,1.031,1.055,Aug,Dec,"bimodal (2 harmonics, 2 peaks)",0.189,0.165,0,poisson,HAC-Wald,1.09973558340146e-15,TRUE,TRUE,5.27206392050756e-10,7.61751190758859e-16,TRUE,FALSE
0202020L0,Furosemide,Loop diuretics,secondary_exploratory,all_eligible_drugs,1.035,1.028,1.051,Jul,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.027,0,0,poisson,HAC-Wald,4.80119964830294e-49,TRUE,TRUE,1.23408769764989e-38,3.24352091230322e-49,TRUE,FALSE
0406000T0,Prochlorperazine maleate,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.035,1.024,1.051,Sep,May,"bimodal (2 harmonics, 2 peaks)",0.165,0.382,0.193,poisson,HAC-Wald,2.16022856702504e-08,TRUE,TRUE,4.48078666131178e-09,1.53504537522664e-08,TRUE,FALSE
1003020I0,Diethylamine salicylate,"Rubefacients, topical NSAIDs, capsaicin and poultices",secondary_exploratory,all_eligible_drugs,1.034,1.025,1.064,May,Jan,"bimodal (2 harmonics, 2 peaks)",0.071,0.132,0.972,poisson,HAC-Wald,0.0139094155455506,TRUE,TRUE,1.55919199584476e-59,0.0105161735186377,TRUE,FALSE
