bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
0106040G0,Lactulose,Osmotic laxatives,secondary_exploratory,all_eligible_drugs,1.021,1.016,1.041,Jan,Jun,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.039,0.009,0.248,poisson,HAC-Wald,0.00147410343436884,TRUE,FALSE,0.411692559020789,,FALSE,FALSE
0803041C0,Exemestane,Hormone antagonists,secondary_exploratory,all_eligible_drugs,1.021,1.011,1.041,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.097,0,0.759,poisson,HAC-Wald,0.022413669789863,TRUE,TRUE,0.00341395403142288,0.0171408122388482,TRUE,FALSE
0501130H0,Methenamine hippurate,Urinary-tract infections,secondary_exploratory,all_eligible_drugs,1.021,1.011,1.039,Dec,Apr,"bimodal (2 harmonics, 2 peaks)",-0.163,0,0.996,poisson,HAC-Wald,0.00313713045991835,TRUE,TRUE,2.05997052646044e-07,0.00230712367720037,TRUE,FALSE
0106020M0,Senna,Stimulant laxatives,secondary_exploratory,all_eligible_drugs,1.021,1.011,1.039,Nov,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.132,0.147,0.598,poisson,HAC-Wald,0.00719473290750707,TRUE,TRUE,0.0429708493171327,0.00531976799290539,TRUE,FALSE
0409010V0,Entacapone,Dopaminergic drugs used in parkinsonism,secondary_exploratory,all_eligible_drugs,1.02,1.012,1.043,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.113,0.015,0.496,poisson,HAC-Wald,0.0267365411106122,TRUE,TRUE,0.000377505620594641,0.0205252987338796,TRUE,FALSE
0601060D0,Glucose blood testing reagents,Diabetic diagnostic and monitoring agents,secondary_exploratory,all_eligible_drugs,1.02,1.017,1.033,Aug,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.048,0.126,0.907,poisson,HAC-Wald,3.31859365138886e-15,TRUE,TRUE,1.14226798562315e-07,2.29406244675541e-15,TRUE,FALSE
0410030C0,Methadone hydrochloride,Opioid dependence,secondary_exploratory,all_eligible_drugs,1.02,1.013,1.037,May,Sep,"bimodal (2 harmonics, 2 peaks)",-0.046,0.143,0.891,poisson,HAC-Wald,0.00614119456699056,TRUE,TRUE,0.00172848088230961,0.0045366676714348,TRUE,FALSE
0301020S0,Glycopyrronium bromide,Antimuscarinic bronchodilators,secondary_exploratory,all_eligible_drugs,1.02,1.012,1.041,Dec,Apr,"bimodal (2 harmonics, 2 peaks)",-0.1,0.159,0.994,poisson,HAC-Wald,0.0215057553041582,TRUE,TRUE,8.45914240039922e-05,0.0163626951559693,TRUE,FALSE
0901011H0,Ferrous gluconate,Iron-deficiency anaemias,secondary_exploratory,all_eligible_drugs,1.02,1.014,1.041,Aug,Jan,unimodal (1 harmonic preferred),0.072,0.009,0.136,poisson,HAC-Wald,0.0146681133221326,TRUE,TRUE,4.30049447409871e-15,0.0110688534823075,TRUE,FALSE
0406000J0,Domperidone,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.02,1.013,1.045,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.087,0,0.917,poisson,HAC-Wald,0.0296559711288308,TRUE,TRUE,4.48078666131178e-09,0.022859908666964,TRUE,FALSE
0403040U0,Reboxetine,Other antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.02,1.014,1.041,Apr,Aug,unimodal (1 harmonic preferred),-0.156,0.108,0.637,poisson,HAC-Wald,0.000114384608098442,TRUE,TRUE,3.16743876105447e-08,8.27636255048748e-05,TRUE,FALSE
0403010R0,Lofepramine hydrochloride,Tricyclic and related antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.019,1.013,1.033,Nov,Jul,"bimodal (2 harmonics, 2 peaks)",-0.074,0.198,0.956,poisson,HAC-Wald,0.000145567396243245,TRUE,TRUE,5.81617035616975e-09,0.000105250583562656,TRUE,FALSE
0802020T0,Tacrolimus,Corticosteroids and other immunosuppressants,secondary_exploratory,all_eligible_drugs,1.019,1.013,1.037,Dec,Apr,unimodal (1 harmonic preferred),-0.108,0,0.882,poisson,HAC-Wald,0.00953559228402705,TRUE,FALSE,0.189539192211055,,FALSE,FALSE
0404000R0,Modafinil,CNS stimulants and drugs used for ADHD,secondary_exploratory,all_eligible_drugs,1.019,1.01,1.036,Jun,Mar,"bimodal (2 harmonics, 2 peaks)",-0.155,0,0,poisson,HAC-Wald,0.00950046296717277,TRUE,TRUE,0.0251947058398018,0.00707411165449423,TRUE,FALSE
0601012D0,Biphasic isophane insulin,Insulin,secondary_exploratory,all_eligible_drugs,1.019,1.011,1.036,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.125,0.162,0.59,poisson,HAC-Wald,0.00948531712214197,TRUE,TRUE,0.0233801524823976,0.00706579513451305,TRUE,FALSE
0601012S0,Isophane insulin,Insulin,secondary_exploratory,all_eligible_drugs,1.019,1.012,1.039,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.162,0,0,poisson,HAC-Wald,4.02864497821381e-05,TRUE,TRUE,0.0233801524823976,2.92494896026161e-05,TRUE,FALSE
0407020A0,Fentanyl,Opioid analgesics,secondary_exploratory,all_eligible_drugs,1.019,1.01,1.036,Jul,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.101,0.187,0.968,poisson,HAC-Wald,0.0218031576491232,TRUE,FALSE,0.272633294918465,,FALSE,FALSE
0202010P0,Indapamide,Thiazides and related diuretics,secondary_exploratory,all_eligible_drugs,1.019,1.015,1.029,May,Sep,"bimodal (2 harmonics, 2 peaks)",-0.1,0,0.722,poisson,HAC-Wald,8.17574825235135e-11,TRUE,TRUE,0.00190095196630072,5.66859536506647e-11,TRUE,FALSE
0409010N0,Co-careldopa (Carbidopa/levodopa),Dopaminergic drugs used in parkinsonism,secondary_exploratory,all_eligible_drugs,1.019,1.011,1.037,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.141,0,0.702,poisson,HAC-Wald,0.000157478965540741,TRUE,TRUE,0.000377505620594641,0.000113822893653462,TRUE,FALSE
0403040X0,Mirtazapine,Other antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.018,1.015,1.035,Jan,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.109,0,0.701,poisson,HAC-Wald,2.87129739239357e-15,TRUE,TRUE,3.16743876105447e-08,1.98593156400664e-15,TRUE,FALSE
0301020Q0,Tiotropium bromide,Antimuscarinic bronchodilators,secondary_exploratory,all_eligible_drugs,1.018,1.012,1.033,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.138,0.159,0.979,poisson,HAC-Wald,0.0063889802038928,TRUE,TRUE,8.45914240039922e-05,0.00471807988687076,TRUE,FALSE
0102000T0,Peppermint oil,Antispasmodics and other drugs altering gut motility,secondary_exploratory,all_eligible_drugs,1.018,1.014,1.036,Sep,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.101,0,0,poisson,HAC-Wald,3.04400476893492e-05,TRUE,FALSE,0.0936735611860228,,FALSE,FALSE
0407042Q0,Pizotifen malate,Antimigraine drugs,secondary_exploratory,all_eligible_drugs,1.018,1.014,1.03,May,Aug,"bimodal (2 harmonics, 2 peaks)",0.01,0.203,0.141,poisson,HAC-Wald,1.60323018379721e-09,TRUE,FALSE,0.745226127019671,,FALSE,FALSE
0704010V0,Tamsulosin and dutasteride hydrochloride,Drugs for urinary retention,secondary_exploratory,all_eligible_drugs,1.018,1.01,1.036,Nov,Feb,"bimodal (2 harmonics, 2 peaks)",-0.168,0,0.615,poisson,HAC-Wald,0.0201526857651018,TRUE,TRUE,4.29924047279809e-07,0.0153563579781435,TRUE,FALSE
090607000,Other multivitamin preparations,Multivitamin preparations,secondary_exploratory,all_eligible_drugs,1.018,1.013,1.032,Dec,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.076,0.01,0.889,poisson,HAC-Wald,0.000956878867574145,TRUE,TRUE,0.00214384731978948,0.000693503973031325,TRUE,FALSE
0703021Q0,Desogestrel,Progestogen-only contraceptives,secondary_exploratory,all_eligible_drugs,1.018,1.01,1.034,Jul,Oct,"bimodal (2 harmonics, 2 peaks)",0.38,0.374,0.883,poisson,HAC-Wald,0.028621092454225,TRUE,TRUE,0.000388275226870467,0.0220174062022675,TRUE,FALSE
0704050R0,Tadalafil,Drugs for erectile dysfunction,secondary_exploratory,all_eligible_drugs,1.017,1.009,1.036,Dec,Apr,"bimodal (2 harmonics, 2 peaks)",-0.107,0,0.949,poisson,HAC-Wald,0.0136565322934971,TRUE,FALSE,0.31408709366056,,FALSE,FALSE
0601012W0,Biphasic insulin aspart,Insulin,secondary_exploratory,all_eligible_drugs,1.017,1.009,1.034,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.109,0.153,0.882,poisson,HAC-Wald,0.0385621199868518,TRUE,TRUE,0.0233801524823976,0.0298987690944653,TRUE,FALSE
0601023AG,Dapagliflozin,Antidiabetic drugs,secondary_exploratory,all_eligible_drugs,1.017,1.008,1.031,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.201,0.091,0.998,poisson,HAC-Wald,0.049212350534617,TRUE,FALSE,0.870182495394554,,FALSE,FALSE
0409010W0,Pramipexole,Dopaminergic drugs used in parkinsonism,secondary_exploratory,all_eligible_drugs,1.017,1.01,1.034,Nov,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.211,0,0.787,poisson,HAC-Wald,0.0260640328918417,TRUE,TRUE,0.000377505620594641,0.0200168439403257,TRUE,FALSE
0408010H0,Lamotrigine,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.017,1.01,1.032,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.116,0,0.849,poisson,HAC-Wald,8.2104953548936e-05,TRUE,TRUE,0.0462428934317855,5.94731717487656e-05,TRUE,FALSE
0403010F0,Clomipramine hydrochloride,Tricyclic and related antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.017,1.011,1.031,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.111,0,0.115,poisson,HAC-Wald,0.00069940289357351,TRUE,TRUE,5.81617035616975e-09,0.000505566325718034,TRUE,FALSE
0407020Q0,Morphine sulfate,Opioid analgesics,secondary_exploratory,all_eligible_drugs,1.017,1.012,1.031,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.195,0,0.339,poisson,HAC-Wald,3.47307441054297e-08,TRUE,FALSE,0.272633294918465,,FALSE,FALSE
0401020P0,Lorazepam,Anxiolytics,secondary_exploratory,all_eligible_drugs,1.017,1.012,1.038,Nov,Apr,"bimodal (2 harmonics, 2 peaks)",-0.175,0,0.49,poisson,HAC-Wald,0.0112776936711631,TRUE,FALSE,0.411692559020789,,FALSE,FALSE
0205052Q0,Telmisartan,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.017,1.011,1.034,Oct,Mar,unimodal (1 harmonic preferred),-0.109,0,0.139,poisson,HAC-Wald,0.0340506888663361,TRUE,TRUE,0.0166702504942612,0.0263101876870572,TRUE,FALSE
0601012F0,Biphasic insulin lispro,Insulin,secondary_exploratory,all_eligible_drugs,1.016,1.011,1.032,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.142,0.143,0.937,poisson,HAC-Wald,0.0104391449502136,TRUE,TRUE,0.0233801524823976,0.00781260466713615,TRUE,FALSE
1001010AH,Celecoxib,Non-steroidal anti-inflammatory drugs,secondary_exploratory,all_eligible_drugs,1.016,1.011,1.03,May,Jan,"bimodal (2 harmonics, 2 peaks)",-0.122,0.143,0.892,poisson,HAC-Wald,0.00360874831325348,TRUE,TRUE,5.27206392050756e-10,0.00265037776466829,TRUE,FALSE
0206030Z0,Ranolazine,Other antianginal drugs,secondary_exploratory,all_eligible_drugs,1.016,1.011,1.033,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.154,0,0.973,poisson,HAC-Wald,1.77141074206485e-05,TRUE,TRUE,0.0321300338119129,1.26922996048017e-05,TRUE,FALSE
0212000P0,Fenofibrate,Lipid-regulating drugs,secondary_exploratory,all_eligible_drugs,1.016,1.012,1.035,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.141,0,0,poisson,HAC-Wald,0.000540037082143353,TRUE,TRUE,0.0304008061863522,0.00039088926376906,TRUE,FALSE
0407020AD,Oxycodone hydrochloride,Opioid analgesics,secondary_exploratory,all_eligible_drugs,1.016,1.009,1.033,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.182,0,0.048,poisson,HAC-Wald,0.048197893563473,TRUE,FALSE,0.272633294918465,,FALSE,FALSE
0407020B0,Buprenorphine,Opioid analgesics,secondary_exploratory,all_eligible_drugs,1.016,1.009,1.034,Jun,Feb,"bimodal (2 harmonics, 2 peaks)",-0.185,0,0.241,poisson,HAC-Wald,0.0156962376305613,TRUE,FALSE,0.272633294918465,,FALSE,FALSE
0902013S0,Sodium bicarbonate,Oral preparation for fluid and electrolyte imbalance,secondary_exploratory,all_eligible_drugs,1.016,1.009,1.031,Sep,Apr,unimodal (1 harmonic preferred),-0.122,0.023,0.935,poisson,HAC-Wald,0.00523255908298189,TRUE,TRUE,8.65885960246975e-07,0.00386814292529015,TRUE,FALSE
0604020C0,Finasteride,Male sex hormones and antagonists,secondary_exploratory,all_eligible_drugs,1.016,1.012,1.032,Nov,Jul,"bimodal (2 harmonics, 2 peaks)",-0.174,0.111,0.665,poisson,HAC-Wald,3.04400476893492e-05,TRUE,TRUE,6.44078395714296e-07,2.19033650065506e-05,TRUE,FALSE
0803041L0,Letrozole,Hormone antagonists,secondary_exploratory,all_eligible_drugs,1.016,1.008,1.033,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.19,0,0.714,poisson,HAC-Wald,0.00719473290750707,TRUE,TRUE,0.00341395403142288,0.00531976799290539,TRUE,FALSE
040201030,Risperidone,Antipsychotic drugs,secondary_exploratory,all_eligible_drugs,1.016,1.01,1.033,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.126,0,0,poisson,HAC-Wald,0.00249647851789927,TRUE,TRUE,0.00313994020549551,0.00181852223223317,TRUE,FALSE
0403010B0,Amitriptyline hydrochloride,Tricyclic and related antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.015,1.012,1.034,Nov,Jul,"bimodal (2 harmonics, 2 peaks)",-0.145,0,0.162,poisson,HAC-Wald,1.25911981338587e-09,TRUE,TRUE,5.81617035616975e-09,8.71533684409297e-10,TRUE,FALSE
0601023AE,Linagliptin,Antidiabetic drugs,secondary_exploratory,all_eligible_drugs,1.015,1.008,1.031,Nov,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.177,0,0.501,poisson,HAC-Wald,0.0218031576491232,TRUE,FALSE,0.870182495394554,,FALSE,FALSE
0704010U0,Tamsulosin hydrochloride,Drugs for urinary retention,secondary_exploratory,all_eligible_drugs,1.015,1.012,1.027,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.18,0,0.803,poisson,HAC-Wald,5.22596641226796e-08,TRUE,TRUE,4.29924047279809e-07,3.75582801703036e-08,TRUE,FALSE
0203020I0,Flecainide acetate,Drugs for arrhythmias,secondary_exploratory,all_eligible_drugs,1.015,1.009,1.032,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.095,0,0.065,poisson,HAC-Wald,0.00249094269962647,TRUE,FALSE,0.145276570341784,,FALSE,FALSE
0803041B0,Anastrozole,Hormone antagonists,secondary_exploratory,all_eligible_drugs,1.015,1.01,1.03,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.193,0.086,0.698,poisson,HAC-Wald,0.00990103055666749,TRUE,TRUE,0.00341395403142288,0.00741257316178592,TRUE,FALSE
1001040C0,Allopurinol,Gout and cytotoxic induced hyperuicaemia,secondary_exploratory,all_eligible_drugs,1.015,1.009,1.031,Nov,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.182,0,0.609,poisson,HAC-Wald,3.52185246701262e-05,TRUE,TRUE,1.06784116477649e-16,2.54523256939826e-05,TRUE,FALSE
0205040D0,Doxazosin mesilate,Alpha-adrenoceptor blocking drugs,secondary_exploratory,all_eligible_drugs,1.015,1.01,1.025,Apr,Aug,"bimodal (2 harmonics, 2 peaks)",-0.161,0,0.579,poisson,HAC-Wald,0.00224903552884576,TRUE,TRUE,0.00111675606659756,0.00163265525417534,TRUE,FALSE
0402030K0,Lithium carbonate,Drugs used for mania and hypomania,secondary_exploratory,all_eligible_drugs,1.014,1.01,1.035,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.165,0.133,0.475,poisson,HAC-Wald,7.9185514594883e-06,TRUE,TRUE,0.0342362206094809,5.69022577902753e-06,TRUE,FALSE
0206030N0,Nicorandil,Other antianginal drugs,secondary_exploratory,all_eligible_drugs,1.014,1.009,1.029,Nov,Feb,"bimodal (2 harmonics, 2 peaks)",-0.158,0,0.931,poisson,HAC-Wald,0.0033775287895685,TRUE,TRUE,0.0321300338119129,0.00248306908777735,TRUE,FALSE
0403010X0,Trazodone hydrochloride,Tricyclic and related antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.014,1.011,1.029,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.173,0.103,0.633,poisson,HAC-Wald,6.84458697155699e-06,TRUE,TRUE,5.81617035616975e-09,4.92228129762167e-06,TRUE,FALSE
0403010J0,Dosulepin hydrochloride,Tricyclic and related antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.014,1.009,1.03,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.122,0,0.968,poisson,HAC-Wald,0.0207253725779739,TRUE,TRUE,5.81617035616975e-09,0.0157867341913892,TRUE,FALSE
0402010A0,Amisulpride,Antipsychotic drugs,secondary_exploratory,all_eligible_drugs,1.014,1.008,1.027,Nov,Jul,"bimodal (2 harmonics, 2 peaks)",-0.184,0,0.462,poisson,HAC-Wald,0.0317663729038972,TRUE,TRUE,0.00313994020549551,0.0244483742282743,TRUE,FALSE
1002020C0,Baclofen,Skeletal muscle relaxants,secondary_exploratory,all_eligible_drugs,1.013,1.009,1.03,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",-0.177,0,0.575,poisson,HAC-Wald,0.00379226897884593,TRUE,FALSE,0.108400217093321,,FALSE,FALSE
0206020F0,Felodipine,Calcium-channel blockers,secondary_exploratory,all_eligible_drugs,1.013,1.01,1.024,Apr,Aug,"bimodal (2 harmonics, 2 peaks)",-0.172,0,0.171,poisson,HAC-Wald,3.04400476893492e-05,TRUE,TRUE,3.20982104870482e-14,2.19033650065506e-05,TRUE,FALSE
0103050R0,Pantoprazole,Proton pump inhibitors,secondary_exploratory,all_eligible_drugs,1.013,1.01,1.029,Nov,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.174,0,0.65,poisson,HAC-Wald,0.0179352983785449,TRUE,FALSE,0.16948873915267,,FALSE,FALSE
0704020AE,Mirabegron,Drugs for urinary frequency enuresis and incontinence,secondary_exploratory,all_eligible_drugs,1.013,1.008,1.028,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.199,0,0.969,poisson,HAC-Wald,0.0295352797387377,TRUE,FALSE,0.102138015457376,,FALSE,FALSE
0704020AB,Solifenacin,Drugs for urinary frequency enuresis and incontinence,secondary_exploratory,all_eligible_drugs,1.013,1.009,1.029,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.14,0,0.873,poisson,HAC-Wald,0.000209930797699473,TRUE,FALSE,0.102138015457376,,FALSE,FALSE
0906040B0,Alfacalcidol,Vitamin D,secondary_exploratory,all_eligible_drugs,1.013,1.007,1.026,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.119,0,0.404,poisson,HAC-Wald,0.0144745649297401,TRUE,TRUE,7.68734419904648e-19,0.0109309714928854,TRUE,FALSE
0408010W0,Sodium valproate,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.013,1.009,1.031,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.13,0,0.815,poisson,HAC-Wald,0.00111314287324696,TRUE,TRUE,0.0462428934317855,0.000805459727292586,TRUE,FALSE
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),Non-opioid analgesics and compound preparations,secondary_exploratory,all_eligible_drugs,1.013,1.01,1.033,Oct,Jul,"bimodal (2 harmonics, 2 peaks)",-0.153,0,0.926,poisson,HAC-Wald,0.00658736083915081,TRUE,TRUE,8.43977774190808e-06,0.00487740640826357,TRUE,FALSE
0601023AL,Dapagliflozin/metformin,Antidiabetic drugs,secondary_exploratory,all_eligible_drugs,1.013,1.009,1.024,Dec,Apr,unimodal (1 harmonic preferred),-0.162,0,0.983,poisson,HAC-Wald,0.00838047702154332,TRUE,FALSE,0.870182495394554,,FALSE,FALSE
0302000AA,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids),Corticosteroids (respiratory),secondary_exploratory,all_eligible_drugs,1.013,1.007,1.029,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",-0.226,0.072,0.99,poisson,HAC-Wald,0.0300019567242497,TRUE,TRUE,5.7573277320653e-30,0.0231174749436355,TRUE,FALSE
0202030X0,Eplerenone,Potassium-sparing diuretics and aldosterone antagonists,secondary_exploratory,all_eligible_drugs,1.013,1.007,1.028,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.174,0,0.981,poisson,HAC-Wald,0.00523255908298189,TRUE,TRUE,0.0219910094935298,0.00386814292529015,TRUE,FALSE
0408010Q0,Phenytoin sodium,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.012,1.009,1.03,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.147,0,0.908,poisson,HAC-Wald,0.0030757146739575,TRUE,TRUE,0.0462428934317855,0.00226352389968453,TRUE,FALSE
0209000Y0,Prasugrel,Antiplatelet drugs,secondary_exploratory,all_eligible_drugs,1.012,1.01,1.032,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.146,0.146,0.978,poisson,HAC-Wald,0.00060060785426146,TRUE,TRUE,0.000402533574512188,0.000434584440477557,TRUE,FALSE
0201010F0,Digoxin,Cardiac glycosides,secondary_exploratory,all_eligible_drugs,1.012,1.008,1.03,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.174,0,0.244,poisson,HAC-Wald,0.00132708744442291,TRUE,TRUE,0.000783444846553568,0.000959082249362321,TRUE,FALSE
0103050E0,Esomeprazole,Proton pump inhibitors,secondary_exploratory,all_eligible_drugs,1.012,1.008,1.025,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.177,0,0.439,poisson,HAC-Wald,0.00807612110504883,TRUE,FALSE,0.16948873915267,,FALSE,FALSE
0406000B0,Betahistine hydrochloride,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.012,1.008,1.03,Oct,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.16,0,0,poisson,HAC-Wald,0.0155603625474394,TRUE,TRUE,4.48078666131178e-09,0.0117705140009125,TRUE,FALSE
0408010F0,Clonazepam,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.012,1.008,1.028,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.209,0,0,poisson,HAC-Wald,0.0208025058732109,TRUE,TRUE,0.0462428934317855,0.0158394939578232,TRUE,FALSE
0206020L0,Lercanidipine hydrochloride,Calcium-channel blockers,secondary_exploratory,all_eligible_drugs,1.012,1.007,1.025,May,Sep,"bimodal (2 harmonics, 2 peaks)",-0.188,0,0.955,poisson,HAC-Wald,0.0228345614706892,TRUE,TRUE,3.20982104870482e-14,0.0174559894696768,TRUE,FALSE
0209000C0,Clopidogrel,Antiplatelet drugs,secondary_exploratory,all_eligible_drugs,1.012,1.008,1.027,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.205,0,0.465,poisson,HAC-Wald,0.000919125300352836,TRUE,TRUE,0.000402533574512188,0.000666585105042096,TRUE,FALSE
0403030X0,Escitalopram,Selective serotonin re-uptake inhibitors,secondary_exploratory,all_eligible_drugs,1.011,1.009,1.025,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.12,0.16,0.941,poisson,HAC-Wald,4.42155283568355e-05,TRUE,TRUE,0.000373686698569591,3.20767893498739e-05,TRUE,FALSE
0204000AB,Nebivolol,Beta-adrenoceptor blocking drugs,secondary_exploratory,all_eligible_drugs,1.011,1.009,1.031,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.099,0.166,0.736,poisson,HAC-Wald,0.000535814015162068,TRUE,TRUE,0.0081054061707156,0.000387965118691717,TRUE,FALSE
0205051R0,Ramipril,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.021,May,Aug,"bimodal (2 harmonics, 2 peaks)",-0.188,0,0.668,poisson,HAC-Wald,0.00962246964747543,TRUE,TRUE,0.0166702504942612,0.00720931274517707,TRUE,FALSE
0403030Q0,Sertraline hydrochloride,Selective serotonin re-uptake inhibitors,secondary_exploratory,all_eligible_drugs,1.01,1.008,1.024,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.118,0,0.742,poisson,HAC-Wald,4.54352034920557e-05,TRUE,TRUE,0.000373686698569591,3.29488111264447e-05,TRUE,FALSE
0403030P0,Paroxetine hydrochloride,Selective serotonin re-uptake inhibitors,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.025,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.163,0,0.285,poisson,HAC-Wald,0.0151300705522602,TRUE,TRUE,0.000373686698569591,0.0114493469653164,TRUE,FALSE
0205052C0,Candesartan cilexetil,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.022,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.196,0,0.779,poisson,HAC-Wald,0.00948326275203713,TRUE,TRUE,0.0166702504942612,0.00706579513451305,TRUE,FALSE
0403040Y0,Duloxetine hydrochloride,Other antidepressant drugs,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.024,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.186,0,0.954,poisson,HAC-Wald,0.00190963299394851,TRUE,TRUE,3.16743876105447e-08,0.00138798850888442,TRUE,FALSE
0604011Y0,Tibolone,Female sex hormones and their modulators,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.029,Jun,Feb,unimodal (1 harmonic preferred),-0.148,0.032,0.854,poisson,HAC-Wald,0.0478099317776994,TRUE,TRUE,0.000113754559464022,0.0371194030379251,TRUE,FALSE
0205052I0,Irbesartan,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.01,1.006,1.024,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.199,0,0.531,poisson,HAC-Wald,0.0175251805135193,TRUE,TRUE,0.0166702504942612,0.0132990441870474,TRUE,FALSE
0204000H0,Bisoprolol fumarate,Beta-adrenoceptor blocking drugs,secondary_exploratory,all_eligible_drugs,1.01,1.007,1.024,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.201,0,0.585,poisson,HAC-Wald,0.00123467721503177,TRUE,TRUE,0.0081054061707156,0.000892569575867018,TRUE,FALSE
