bnf_class_code,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
030401,Antihistamines,8.86548680425132e-229,poisson,HAC-Wald,1884.29721613538,0.00206106123381779,0.000926955008103691,5.1244523460949,FALSE,,-0.00170111702038837,-0.116746376327665,-0.00752314446095125,0.0318064990450475,TRUE,,1.95040709693529e-226,TRUE,primary_inferential,all_eligible_classes
110402,Other anti-inflammatory preparations,6.53183629706961e-146,poisson,HAC-Wald,982.846137599289,0.00683978721029577,0.000236752081077651,0.444010366025165,FALSE,,0.0127434156930895,-0.32985342278818,-0.0244837881406989,0.10678127033103,TRUE,,7.18501992677657e-144,TRUE,primary_inferential,all_eligible_classes
030902,Expectorant and demulcent cough preparations,9.80815688728394e-142,poisson,HAC-Wald,48.9283734372003,4.12070914663297e-05,0.0336447337939858,11.1204073574542,FALSE,,0.130308102714288,0.299945974228745,-0.0908202507024063,0.0798353743051332,TRUE,,7.19264838400822e-140,TRUE,primary_inferential,all_eligible_classes
130603,Topical preparation for rosacea,4.47054513380901e-120,poisson,HAC-Wald,25.3903877798559,2.03702530368338e-09,1.24590689132287e-06,11.3080217121697,FALSE,,0.100059954308758,-0.0999639650094046,-0.0428815659297114,-0.0031257090951112,TRUE,,2.45879982359496e-118,TRUE,primary_inferential,all_eligible_classes
050103,Tetracyclines,7.32665654772252e-90,poisson,HAC-Wald,2565.45068504433,0.00306084107962484,0.0051294132315346,3.24825180992272,FALSE,,0.111525202479168,0.17918038027445,-0.017167416397245,0.0601414552779119,TRUE,,3.22372888099791e-88,TRUE,primary_inferential,all_eligible_classes
131200,Antiperspirants,7.96603339575815e-82,poisson,HAC-Wald,17.7116375971623,0.000150178736314821,0.0144328022235589,3.23520359517623,FALSE,,-0.0766470264647348,-0.143770226723939,0.0185051381896996,-0.015507955882655,TRUE,,2.92087891177799e-80,TRUE,primary_inferential,all_eligible_classes
140400,Vaccines and antisera,1.59634766296845e-75,poisson,HAC-Wald,210018.931132338,5.83640418943395e-06,0.041092291041169,2.21104635009149,FALSE,,-0.66119806608119,1.4002985111147,-0.651747397568028,-0.572201597209164,TRUE,,5.01709265504371e-74,TRUE,primary_inferential,all_eligible_classes
050304,Influenza,4.68215957348274e-70,poisson,HAC-Wald,616.202619393856,0.015663559518702,0.0253892329626093,0.868333656509318,FALSE,,1.4557031507995,1.76434566517259,0.0903764497613319,0.663965703158458,TRUE,,1.28759388270775e-68,TRUE,primary_inferential,all_eligible_classes
100302,"Rubefacients, topical NSAIDs, capsaicin and poultices",6.37851271027404e-61,poisson,HAC-Wald,553.365984999553,2.20556100441986e-09,0.000931370124331754,12,TRUE,,-0.0101345220774591,-0.0184566799928032,-0.00727889414127935,-0.00579532887404853,TRUE,,1.55919199584476e-59,TRUE,primary_inferential,all_eligible_classes
050506,Filaricides,8.95542925086484e-61,poisson,HAC-Wald,22.3831669442745,7.0841066054369e-10,0.0402378723035992,1.10018397417083,FALSE,,0.165859647837377,0.196346804292352,-0.0339212382997131,0.0137609344367144,TRUE,,1.97019443519026e-59,TRUE,primary_inferential,all_eligible_classes
130502,Preparations for psoriasis,1.0048703203953e-56,poisson,HAC-Wald,114.395095314566,9.29181866679716e-08,0.00373000308667204,7.51409329919271,FALSE,,0.0286614614779229,-0.0250453829231011,-0.0017030093731372,-0.00125498532283428,TRUE,,2.00974064079059e-55,TRUE,primary_inferential,all_eligible_classes
120201,Drugs used in nasal allergy,2.69091836400528e-53,poisson,HAC-Wald,928.75379954371,0.000777208409367318,0.00351439454366076,1.66255020915105,FALSE,,0.0341788768957539,-0.0733003912859411,-0.0120408545525127,0.0287608535735786,TRUE,,4.93335033400967e-52,TRUE,primary_inferential,all_eligible_classes
