bnf_drug_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
0101021B0,1.05820828076708,1.04488992611197,1.0805630439618,Dec,Jul,0.027298847028074,0.00492460787705334,1,0.210157728355988,0.170296622047655,0.105766995514432,12853.7108825235,12658.2219871012,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",010102,Alginic acid compound preparations,2.58583610962564e-10,poisson,HAC-Wald,298.559182081073,9.35538473868293e-09,0.0416981856103673,2.64498163554009,FALSE,,0.0116709253478359,0.0246782606880515,-0.00331424613553025,0.00364246280637957,TRUE,,1.96765966466826e-09,TRUE,secondary_exploratory,all_eligible_drugs,Compound alginates and proprietary indigestion preparations,9.844932030669e-10,TRUE,TRUE,1.37216141946264e-09,TRUE
0301011V0,1.05812641552827,1.04243931320637,1.08678339202907,Dec,Aug,0.0146844361190304,0.0208727024164382,2,0.267578995840427,0.227090942056604,0.962145272318568,1870.12117614873,1561.35164796987,"bimodal (2 harmonics, 2 peaks)",030101,Terbutaline sulphate,7.30376523618985e-07,poisson,HAC-Wald,23.9671880312365,8.834303238134e-09,0.00299048174121674,1.56705685908013,FALSE,,-0.000454872563816052,0.0146773892462036,-0.00531021399275124,0.0201859191892858,TRUE,,4.39127613583266e-06,TRUE,secondary_exploratory,all_eligible_drugs,Adrenoceptor agonists,2.96694404817216e-20,TRUE,TRUE,3.16176152987692e-06,TRUE
0107010Z0,1.05792471588103,1.0447085947082,1.07274303714228,Feb,Jun,0.0209477230940657,0.011856983060836,2,0.373137552578218,0.298422274721644,0.431952299826539,1260.60893977059,1225.98368715799,"bimodal (2 harmonics, 2 peaks)",010701,Zinc oxide,3.87079292033149e-26,poisson,HAC-Wald,16.7280978905077,1.33878348617228e-08,0.000657532110687975,12,TRUE,,0.00860964601548797,0.0190966253121762,0.00400338103174332,-0.0111606893881887,TRUE,,7.25029289308245e-25,TRUE,secondary_exploratory,all_eligible_drugs,Soothing haemorrhoidal preparations,3.88567411103636e-20,TRUE,TRUE,4.99408184623161e-25,TRUE
1304000D0,1.05776002068643,1.03735727730613,1.10196058841214,Jun,Nov,0.0267309343234288,0.00974635747703124,1,0.321350731440562,0.395121173361403,0.758594054723807,831.781543220626,834.045644732891,unimodal (1 harmonic preferred),130400,Betamethasone esters,0.0131530520110166,negbin,NB-LRT,50.8089414564922,3.29575803029065e-09,0.11685674499697,,,812.567886215895,0.0130716720386311,-0.0233168231094618,0.00908711327254676,-0.00352361411649848,TRUE,,0.0348126974422016,TRUE,secondary_exploratory,all_eligible_drugs,Topical corticosteroids,0.000772676262857242,TRUE,TRUE,0.0268779758485992,TRUE
0501030T0,1.05731329627717,1.03952175098543,1.08198979056744,Apr,Sep,0.0258716046685438,0.00659417830466345,1,0.224778638802004,0.413168508689753,0.981481527586856,937.192401115112,926.78720308232,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",050103,Oxytetracycline,5.36429452965501e-16,poisson,HAC-Wald,9.11420742818824,2.11125349934228e-07,0.00405883174898125,6.64455259052359,FALSE,,0.0247549550902787,-0.00751878491537732,-0.00659274188467209,0.000137629777971218,TRUE,,5.7415635954769e-15,TRUE,secondary_exploratory,all_eligible_drugs,Tetracyclines,3.22372888099791e-88,TRUE,TRUE,3.96596157361011e-15,TRUE
130201000,1.05730296848261,1.04774741483469,1.07409572362141,Apr,Oct,0.028192387735898,0.00113784864874966,1,0.351093680423613,0.395056176699274,0.00821434278157784,17259.5724852534,17251.7971494355,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",130201,Other emollient preparations,2.94164756553563e-27,poisson,HAC-Wald,413.125554117863,1.34160882350671e-07,0.00869952348784953,8.77829129343169,FALSE,,0.0219719325432661,-0.0176647928537353,0.0010667837227633,0.000395818185924673,TRUE,,5.96909318506606e-26,TRUE,secondary_exploratory,all_eligible_drugs,Emollients,4.56697434699239e-18,TRUE,TRUE,4.0325085377551e-26,TRUE
1001010J0,1.05696470918583,1.03935020603546,1.07800390249567,Dec,Aug,0.0206280599612756,0.0126722500126672,2,0.292747482704845,0.461663648829929,0.964913405834828,3869.44360471285,3578.78092298019,"bimodal (2 harmonics, 2 peaks)",100101,Ibuprofen,1.77028707223328e-10,poisson,HAC-Wald,73.1295722373684,1.38316338800988e-07,0.0010867893163975,3.03902405212043,FALSE,,0.00678938644996248,0.0194787342863711,-0.0100302770859411,0.00774464085434504,TRUE,,1.36846000663113e-09,TRUE,secondary_exploratory,all_eligible_drugs,Non-steroidal anti-inflammatory drugs,5.27206392050756e-10,TRUE,TRUE,9.47031620755691e-10,TRUE
0901011W0,1.05618814335089,1.03624168763466,1.10552135940705,Jul,Dec,0.0266851301990895,0.00469424016916243,1,0.487765873914203,0.494479938967861,0.825626960203305,2001.22385386008,1996.86241930255,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",090101,Sodium feredetate,0.0137690021918587,poisson,HAC-Wald,35.4499028417852,5.7691189080804e-07,0.00086160965021298,3.95211289340378,FALSE,,-0.000399866657912037,-0.0266821341050196,0.00384850677231064,-0.00268791487760631,TRUE,,0.0360510971367482,TRUE,secondary_exploratory,all_eligible_drugs,Iron-deficiency anaemias,4.30049447409871e-15,TRUE,TRUE,0.0279629735871698,TRUE
0501030L0,1.05555256837246,1.03614158278368,1.09008206469299,Apr,Dec,0.0241441344486081,0.0130858060821752,2,0.327407270740158,0.60318613161971,0.881669064228034,4255.20314237906,3957.40484060344,"bimodal (2 harmonics, 2 peaks)",050103,Lymecycline,0.00033027989048986,poisson,HAC-Wald,82.642010843797,3.45672716926195e-10,0.00917239947483495,4.7885594376827,FALSE,,0.0228213638164225,-0.0078819148581387,-0.00794396230468465,-0.0103986433596908,TRUE,,0.00138660609197036,TRUE,secondary_exploratory,all_eligible_drugs,Tetracyclines,3.22372888099791e-88,TRUE,TRUE,0.00100149386148538,TRUE
0901020N0,1.0555481804641,1.03987482559254,1.0811188718661,Jul,Nov,0.0159309823377043,0.0176030662754719,2,0.424064591470063,0.488493734007351,0.852847378132982,13506.1835645421,11658.7225321408,"bimodal (2 harmonics, 2 peaks)",090102,Hydroxocobalamin,1.92798821694637e-09,poisson,HAC-Wald,273.188513159529,2.6575718495335e-06,9.26411039693376e-05,10.1673457459123,FALSE,,-0.00811104682551664,-0.0137115687519162,0.0175001220835284,-0.00190096537587089,TRUE,,1.36076849514911e-08,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in megaloblastic anaemias,0.368742866068691,FALSE,FALSE,,FALSE
0902012L0,1.05516841795515,1.03694991757739,1.09245380095397,Aug,Dec,0.0248403952178949,0.0105754337748302,2,0.101738276184196,0.279211085535339,0.667634536872681,700.530644150713,701.811739095167,unimodal (1 harmonic preferred),090201,Sodium chloride,0.00332584153582806,negbin,NB-LRT,11.1098681218805,4.47610332432889e-06,0.203660880917901,,,1199.83868210169,-0.0161857803130931,-0.01884318843077,0.0104575643696554,-0.00157453071749472,TRUE,,0.0107978988529884,TRUE,secondary_exploratory,all_eligible_drugs,Oral preparation for fluid and electrolyte imbalance,8.65885960246975e-07,TRUE,TRUE,0.00810519900212913,TRUE
130201100,1.05511614819469,1.0357934264498,1.09021247440539,Apr,Oct,0.0271530364839177,0.000866549120802552,1,0.30727823505654,0.388775766405495,0.928657844827958,829.813294838765,833.794527125545,unimodal (1 harmonic preferred),130201,Emollient bath and shower preparations,0.00548478674978424,negbin,NB-LRT,43.936073804815,8.09772208415015e-07,0.0699187563224983,,,1092.50869087106,0.0253341102039486,-0.00977088790597625,0.000866300114234526,-2.077235761589e-05,TRUE,,0.0165846972532646,TRUE,secondary_exploratory,all_eligible_drugs,Emollients,4.56697434699239e-18,TRUE,TRUE,0.0125748769385297,TRUE
0409010U0,1.05491282463739,1.03937642149317,1.0961345247273,Jan,May,0.0196727495133361,0.0125935844473674,2,0.203579547090052,0.20966690954214,0.740526816494673,440.942365621661,443.477069524257,unimodal (1 harmonic preferred),040901,Cabergoline,0.000329982342529661,poisson,HAC-Wald,1.31595405646149,0.311740186514073,0.00920222487806344,3.48917453491929,FALSE,,0.00669663642119946,0.0184978953953343,0.0123661719893316,-0.00238246921559243,TRUE,,0.00138660609197036,TRUE,secondary_exploratory,all_eligible_drugs,Dopaminergic drugs used in parkinsonism,0.000377505620594641,TRUE,TRUE,0.00100149386148538,TRUE
