bnf_class_code,bnf_drug_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
010200,0102000T0,Peppermint oil,5.68797605694206e-06,poisson,HAC-Wald,32.5567775992711,1.35451919207551e-09,0.000682244782299613,6.53005913803348,FALSE,,-0.0075008845012176,-0.00303260995854866,0.000468466595490857,-0.00301023712039066,TRUE,,3.04400476893492e-05,TRUE,secondary_exploratory,all_eligible_drugs,Antispasmodics and other drugs altering gut motility,0.0936735611860228,FALSE,FALSE,,FALSE
020602,0206020F0,Felodipine,5.64508934547949e-06,poisson,HAC-Wald,189.067980651052,2.75830582267556e-09,1.37771199160142e-06,6.86951862250461,FALSE,,0.00501226060886847,-3.15193957075479e-05,-0.00268309251886993,0.0017204951418203,TRUE,,3.04400476893492e-05,TRUE,secondary_exploratory,all_eligible_drugs,Calcium-channel blockers,3.20982104870482e-14,TRUE,TRUE,2.19033650065506e-05,TRUE
060402,0604020C0,Finasteride,5.6589240898383e-06,poisson,HAC-Wald,221.403184475009,6.74724830930306e-10,2.62284439089822e-06,12,TRUE,,-0.00201490478311463,0.00522479119005405,-0.00384731954469599,0.00183125426940433,TRUE,,3.04400476893492e-05,TRUE,secondary_exploratory,all_eligible_drugs,Male sex hormones and antagonists,6.44078395714296e-07,TRUE,TRUE,2.19033650065506e-05,TRUE
030200,0302000N0,Fluticasone propionate (Inhalation),6.09957366856223e-06,poisson,HAC-Wald,164.998231449006,3.07899496990345e-08,0.000173839468396997,1.04406060904932,FALSE,,0.00358186197475959,0.0144922948825659,-0.00645915858838248,0.00981999392924228,TRUE,,3.24643975583586e-05,TRUE,secondary_exploratory,all_eligible_drugs,Corticosteroids (respiratory),5.7573277320653e-30,TRUE,TRUE,2.34708741164559e-05,TRUE
100104,1001040C0,Allopurinol,6.6531915187918e-06,poisson,HAC-Wald,339.683974576408,1.01638699315813e-09,7.55288319220782e-06,11.0395650177262,FALSE,,-0.00623102246448494,0.00131698346798769,-0.00114826822719112,0.00212920907945995,TRUE,,3.52185246701262e-05,TRUE,secondary_exploratory,all_eligible_drugs,Gout and cytotoxic induced hyperuicaemia,1.06784116477649e-16,TRUE,TRUE,2.54523256939826e-05,TRUE
040202,0402020Z0,Zuclopenthixol decanoate,7.41667907553298e-06,poisson,HAC-Wald,2.80815432805455,0.000802912206850442,0.00443001405650922,9.09092650692772,FALSE,,0.0105935362863413,0.0113592925781322,0.00419416979315094,0.00609507888086499,TRUE,,3.8837878599834e-05,TRUE,secondary_exploratory,all_eligible_drugs,Antipsychotic depot injections,0.000230107269456129,TRUE,TRUE,2.82091030734145e-05,TRUE
131005,1310050D0,Cetrimide,7.41150639067163e-06,poisson,Poisson-LRT,1.27444038392325,0.388851211145493,0.875585876776386,,,,-0.0266601346310866,-0.0567176596289906,-0.0101887934774335,-0.000128121325574405,TRUE,,3.8837878599834e-05,TRUE,secondary_exploratory,all_eligible_drugs,Preparations for minor cuts and abrasions,0.169535003759075,FALSE,FALSE,,FALSE
060101,0601012S0,Isophane insulin,7.73466746330578e-06,poisson,HAC-Wald,37.3177072830769,2.74832085910389e-08,0.000113297124709089,12,TRUE,,-0.000641424468357121,0.00298866137874132,-0.00375611359689363,0.00764807005591465,TRUE,,4.02864497821381e-05,TRUE,secondary_exploratory,all_eligible_drugs,Insulin,0.0233801524823976,TRUE,TRUE,2.92494896026161e-05,TRUE
020702,0207020Y0,Midodrine hydrochloride,7.92710405020976e-06,poisson,HAC-Wald,13.9984128495786,5.11490589901861e-08,0.000442917718123437,4.78201977218068,FALSE,,-0.0112003547418954,0.00864987261866719,0.000771862574332279,0.00431941552861651,TRUE,,4.10691454516186e-05,TRUE,secondary_exploratory,all_eligible_drugs,Vasoconstrictor sympathomimetics,2.31390842922359e-05,TRUE,TRUE,2.98059112287887e-05,TRUE
040303,0403030X0,Escitalopram,8.5798099172915e-06,poisson,HAC-Wald,89.2704835191525,3.67366166114771e-08,0.000531070760151686,9.87679576656651,FALSE,,0.00161517627977887,0.00259988521193298,-0.00246770788593871,0.00261809561138934,TRUE,,4.42155283568355e-05,TRUE,secondary_exploratory,all_eligible_drugs,Selective serotonin re-uptake inhibitors,0.000373686698569591,TRUE,TRUE,3.20767893498739e-05,TRUE
